,name,product_url,rating,reviews,price,product_type
13,Kids Headphones - noot products K11 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane Travel/Plane/Tablet (Navy/Teal),https://www.amazon.com/Kids-Headphones-products-Tangle-Free-Ear/dp/B0746RBK2M/ref=sr_1_14?dchild=1&keywords=Headphones&qid=1592489127&sr=8-14,4.6 out of 5 stars,"5,808",$12.74,Headphones
14,"Wired Headphones, Amoner Earbuds Waterproof Sports Earphones, Stereo Sound Headphones Headsets with Built-in Mic for Phone 6/6s Plus/5s/SE, Galaxy, Android Smartphones, Tablets",https://www.amazon.com/Headphones-Amoner-Waterproof-Earphones-Smartphones/dp/B08862DNM4/ref=sr_1_15?dchild=1&keywords=Headphones&qid=1592489127&sr=8-15,4.8 out of 5 stars,147,$12.99,Headphones
15,Panasonic Headphones RP-HT161-K Full-Sized Over-the-Ear Lightweight Long-Corded (Black),https://www.amazon.com/Panasonic-Headphones-RP-HT161-K-Lightweight-Long-Corded/dp/B075LT8YLR/ref=sr_1_16?dchild=1&keywords=Headphones&qid=1592489127&sr=8-16,4.2 out of 5 stars,"9,281",$14.99,Headphones
16,"Rockpapa On Ear Stereo Headphones Earphones for Adults Kids Childs Teens, Adjustable, Heavy Deep Bass for iPhone iPod iPad MacBook Surface MP3 DVD Smartphones Laptop (Black/Red)",https://www.amazon.com/Headphones-Earphones-Isolating-Adjustable-SmartPhones/dp/B0144WJSE8/ref=sr_1_17?dchild=1&keywords=Headphones&qid=1592489127&sr=8-17,4.4 out of 5 stars,"3,616",$12.99,Headphones
17,"OneOdio Adapter-Free Closed Back Over Ear DJ Stereo Monitor Headphones, Professional Studio Monitor & Mixing, Telescopic Arms with Scale, Newest 50mm Neodymium Drivers - Black",https://www.amazon.com/OneOdio-Auriculares-telesc%C3%B3picos-controladores-1-969/dp/B01N6ZJH96/ref=sr_1_18?dchild=1&keywords=Headphones&qid=1592489127&sr=8-18,4.4 out of 5 stars,"5,082",$33.99,Headphones
18,"Tascam TH-02 Closed Back Studio Headphones, Black",https://www.amazon.com/Tascam-TH-02-Closed-Studio-Headphones/dp/B00B1N06PO/ref=sr_1_19?dchild=1&keywords=Headphones&qid=1592489127&sr=8-19,4.2 out of 5 stars,"2,225",$19.99,Headphones
19,MUNSKT Color Headphones Heavy bass Earphone in Ear Headphones Headphones with Microphone Mobile Phone Earphone Wired Earphone 3.5mm Headphones (Mixed Color 4pack),https://www.amazon.com/MUNSKT-Headphones-Earphone-Microphone-Mobile/dp/B082VKW3W7/ref=sr_1_20?dchild=1&keywords=Headphones&qid=1592489127&sr=8-20,4.2 out of 5 stars,382,$9.99,Headphones
20,"Betron YSM1000 Earbuds with Microphone and Remote Control, Noise Isolating Earphones, Powerful Bass, in Ear Headphones Compatible with iPhone, Tablets, iPad, Samsung",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04001752R9I1LZC7KJM5&url=%2FBetron-Headphones-Definition-Smartphones-Microphone%2Fdp%2FB00XBZY0EI%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1592489127%26sr%3D8-21-spons%26psc%3D1&qualifier=1592489126&id=8562620905501404&widgetName=sp_btf,4.1 out of 5 stars,"3,847",$10.99,Headphones
21,"Betron B25 Earphones with Mic and Volume Control, Powerful Bass, Noise Isolating, Replaceable Earbuds, Portable in Ear Headphones, Compatible with iPhone, iPad, Tablets, Samsung Cell Phones",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_2?ie=UTF8&adId=A0721102VCVJC0VOR12A&url=%2FBetron-Isolating-Headphones-Earphones-Smartphones%2Fdp%2FB079GFF4HZ%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1592489127%26sr%3D8-22-spons%26psc%3D1&qualifier=1592489126&id=8562620905501404&widgetName=sp_btf,4.0 out of 5 stars,"2,601",$10.99,Headphones
22,"Bose Noise Cancelling Wireless Bluetooth Headphones 700, with Alexa Voice Control, Black",https://www.amazon.com/Bose-Cancelling-Wireless-Bluetooth-Headphones/dp/B07Q9MJKBV/ref=sr_1_27?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-27,4.3 out of 5 stars,"5,070",$349.00,Headphones
23,"Sonitum On Ear Headphones with Microphone, Wired Head Phones with Volume Control for Computer Ipad Cellphone, Kids Headphones for School, Foldable/Adjustable fit Tangle Free 1.5m Cord, 3.5mm Jack",https://www.amazon.com/Headphones-Microphone-Lightweight-Comfortable-Foldable/dp/B07J5X68B2/ref=sr_1_31?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-31,4.5 out of 5 stars,680,$13.97,Headphones
24,"AfterShokz Titanium Open Ear Wireless Bone Conduction Headphones, Black, AS600BK, 2.3",https://www.amazon.com/Aftershokz-Trekz-Titanium-Pink-One/dp/B07DMDD776/ref=sr_1_32?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-32,4.3 out of 5 stars,"5,793",$63.96,Headphones
